Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
Vardas4865     Pavarde4865    9    9    10   4    10   5       
Vardas4866     Pavarde4866    8    10   7    10   7    6       
Vardas4867     Pavarde4867    4    9    10   2    3    10      
Vardas4868     Pavarde4868    5    10   3    3    8    5       
Vardas4869     Pavarde4869    6    2    3    7    8    5       
Vardas4870     Pavarde4870    9    10   7    4    7    2       
Vardas4871     Pavarde4871    3    9    9    2    2    6       
Vardas4872     Pavarde4872    10   1    1    4    4    6       
Vardas4873     Pavarde4873    6    3    8    2    6    9       
Vardas4874     Pavarde4874    9    1    6    9    1    2       
Vardas4875     Pavarde4875    7    1    4    8    10   10      
Vardas4876     Pavarde4876    4    3    7    2    7    4       
Vardas4877     Pavarde4877    3    9    10   1    5    8       
Vardas4878     Pavarde4878    10   3    2    1    5    4       
Vardas4879     Pavarde4879    2    7    9    3    6    5       
Vardas4880     Pavarde4880    2    7    4    5    10   9       
Vardas4881     Pavarde4881    3    1    4    6    1    6       
Vardas4882     Pavarde4882    10   5    6    9    6    2       
Vardas4883     Pavarde4883    5    5    5    1    10   2       
Vardas4884     Pavarde4884    4    7    8    8    7    8       
Vardas4885     Pavarde4885    2    8    1    10   7    10      
Vardas4886     Pavarde4886    1    7    1    2    4    8       
Vardas4887     Pavarde4887    9    8    2    1    6    3       
Vardas4888     Pavarde4888    10   6    4    4    5    2       
Vardas4889     Pavarde4889    7    10   4    6    3    8       
Vardas4890     Pavarde4890    6    10   2    10   2    2       
Vardas4891     Pavarde4891    3    8    9    7    7    2       
Vardas4892     Pavarde4892    10   9    4    7    10   6       
Vardas4893     Pavarde4893    1    7    3    5    7    4       
Vardas4894     Pavarde4894    10   1    3    6    1    9       
Vardas4895     Pavarde4895    2    3    8    3    9    5       
Vardas4896     Pavarde4896    10   5    7    4    2    5       
Vardas4897     Pavarde4897    2    2    5    1    3    3       
Vardas4898     Pavarde4898    10   1    4    2    8    2       
Vardas4899     Pavarde4899    7    7    6    3    1    4       
Vardas4900     Pavarde4900    10   2    3    6    10   8       
Vardas4901     Pavarde4901    3    1    7    9    4    5       
Vardas4902     Pavarde4902    8    7    9    6    5    10      
Vardas4903     Pavarde4903    5    2    10   4    2    1       
Vardas4904     Pavarde4904    5    10   7    8    9    6       
Vardas4905     Pavarde4905    10   6    7    6    5    2       
Vardas4906     Pavarde4906    8    2    5    5    9    4       
Vardas4907     Pavarde4907    10   7    7    6    5    1       
Vardas4908     Pavarde4908    4    8    5    3    1    7       
Vardas4909     Pavarde4909    7    2    8    3    7    6       
Vardas4910     Pavarde4910    10   2    3    1    10   1       
Vardas4911     Pavarde4911    8    2    2    9    7    4       
Vardas4912     Pavarde4912    8    1    1    5    1    2       
Vardas4913     Pavarde4913    4    5    6    8    8    3       
Vardas4914     Pavarde4914    5    5    4    2    3    7       
Vardas4915     Pavarde4915    10   3    10   3    5    2       
Vardas4916     Pavarde4916    5    5    4    1    8    6       
Vardas4917     Pavarde4917    5    10   8    3    3    1       
Vardas4918     Pavarde4918    3    7    9    2    5    7       
Vardas4919     Pavarde4919    1    9    8    5    1    6       
Vardas4920     Pavarde4920    6    4    2    9    3    1       
Vardas4921     Pavarde4921    9    1    10   2    10   7       
Vardas4922     Pavarde4922    2    4    6    2    3    10      
Vardas4923     Pavarde4923    2    8    7    10   3    8       
Vardas4924     Pavarde4924    9    5    10   4    8    10      
Vardas4925     Pavarde4925    3    4    5    7    7    5       
Vardas4926     Pavarde4926    10   3    4    6    2    9       
Vardas4927     Pavarde4927    3    6    6    4    7    1       
Vardas4928     Pavarde4928    5    8    7    9    9    8       
Vardas4929     Pavarde4929    5    10   6    2    2    8       
Vardas4930     Pavarde4930    6    10   8    9    2    5       
Vardas4931     Pavarde4931    6    8    5    8    6    6       
Vardas4932     Pavarde4932    6    5    9    5    4    6       
Vardas4933     Pavarde4933    2    3    1    7    2    4       
Vardas4934     Pavarde4934    5    9    10   8    7    10      
Vardas4935     Pavarde4935    4    1    8    5    7    6       
Vardas4936     Pavarde4936    8    2    2    1    4    2       
Vardas4937     Pavarde4937    10   3    8    8    6    7       
Vardas4938     Pavarde4938    10   3    9    3    9    8       
Vardas4939     Pavarde4939    8    6    5    7    5    6       
Vardas4940     Pavarde4940    2    6    3    8    6    7       
Vardas4941     Pavarde4941    5    1    5    10   5    7       
Vardas4942     Pavarde4942    5    5    9    3    9    6       
Vardas4943     Pavarde4943    7    3    7    5    1    9       
Vardas4944     Pavarde4944    6    9    1    6    1    6       
Vardas4945     Pavarde4945    9    1    5    3    2    6       
Vardas4946     Pavarde4946    1    10   3    8    9    1       
Vardas4947     Pavarde4947    5    8    6    2    10   2       
Vardas4948     Pavarde4948    1    5    4    9    9    4       
Vardas4949     Pavarde4949    10   6    5    10   1    10      
Vardas4950     Pavarde4950    5    10   10   4    10   3       
Vardas4951     Pavarde4951    8    7    3    1    2    10      
Vardas4952     Pavarde4952    6    6    3    10   8    3       
Vardas4953     Pavarde4953    8    1    10   8    8    3       
Vardas4954     Pavarde4954    2    5    3    7    4    6       
Vardas4955     Pavarde4955    9    1    9    7    3    3       
Vardas4956     Pavarde4956    3    6    4    2    6    8       
Vardas4957     Pavarde4957    3    4    2    5    5    2       
Vardas4958     Pavarde4958    3    8    2    5    6    10      
Vardas4959     Pavarde4959    10   1    4    6    7    2       
Vardas4960     Pavarde4960    3    10   8    10   9    9       
Vardas4961     Pavarde4961    6    7    2    2    2    6       
Vardas4962     Pavarde4962    10   1    5    7    9    2       
Vardas4963     Pavarde4963    8    3    2    2    7    8       
Vardas4964     Pavarde4964    3    3    7    1    3    5       
Vardas4965     Pavarde4965    3    10   1    8    2    1       
Vardas4966     Pavarde4966    4    4    2    1    7    6       
Vardas4967     Pavarde4967    1    7    7    4    8    4       
Vardas4968     Pavarde4968    7    6    7    10   8    1       
Vardas4969     Pavarde4969    8    3    6    7    2    7       
Vardas4970     Pavarde4970    9    9    6    6    9    4       
Vardas4971     Pavarde4971    3    3    10   10   9    7       
Vardas4972     Pavarde4972    7    9    5    10   2    8       
Vardas4973     Pavarde4973    7    7    8    2    1    7       
Vardas4974     Pavarde4974    9    7    6    9    1    10      
Vardas4975     Pavarde4975    6    5    6    8    5    6       
Vardas4976     Pavarde4976    1    3    6    6    9    9       
Vardas4977     Pavarde4977    7    8    7    6    10   6       
Vardas4978     Pavarde4978    8    1    1    8    7    2       
Vardas4979     Pavarde4979    1    6    8    7    7    2       
Vardas4980     Pavarde4980    7    3    2    7    7    2       
Vardas4981     Pavarde4981    5    8    2    3    1    5       
Vardas4982     Pavarde4982    1    8    6    10   9    4       
Vardas4983     Pavarde4983    7    1    5    1    3    2       
Vardas4984     Pavarde4984    8    10   2    9    4    4       
Vardas4985     Pavarde4985    10   7    3    8    10   3       
Vardas4986     Pavarde4986    6    4    4    7    8    4       
Vardas4987     Pavarde4987    9    5    10   10   3    2       
Vardas4988     Pavarde4988    10   4    3    6    8    7       
Vardas4989     Pavarde4989    10   8    1    7    5    10      
Vardas4990     Pavarde4990    10   6    8    8    9    3       
Vardas4991     Pavarde4991    9    8    3    2    3    4       
Vardas4992     Pavarde4992    7    8    7    6    3    7       
Vardas4993     Pavarde4993    2    5    8    3    5    4       
Vardas4994     Pavarde4994    1    10   5    8    10   1       
Vardas4995     Pavarde4995    4    9    5    9    6    6       
Vardas4996     Pavarde4996    3    3    10   3    2    9       
Vardas4997     Pavarde4997    7    10   9    8    6    1       
Vardas4998     Pavarde4998    9    7    5    7    9    10      
Vardas4999     Pavarde4999    8    7    4    2    1    5       
Vardas5000     Pavarde5000    1    10   6    5    7    7       
Vardas5001     Pavarde5001    9    6    3    6    8    5       
Vardas5002     Pavarde5002    9    9    5    2    6    1       
Vardas5003     Pavarde5003    3    2    4    3    4    1       
Vardas5004     Pavarde5004    3    6    8    9    9    7       
Vardas5005     Pavarde5005    10   8    2    4    3    5       
Vardas5006     Pavarde5006    1    8    10   10   1    7       
Vardas5007     Pavarde5007    2    10   8    10   6    6       
Vardas5008     Pavarde5008    8    5    5    10   3    7       
Vardas5009     Pavarde5009    8    7    6    7    7    5       
Vardas5010     Pavarde5010    2    2    1    3    9    4       
Vardas5011     Pavarde5011    10   2    5    7    10   7       
Vardas5012     Pavarde5012    9    6    7    6    9    5       
Vardas5013     Pavarde5013    1    8    1    6    5    4       
Vardas5014     Pavarde5014    10   9    1    4    7    7       
Vardas5015     Pavarde5015    1    2    9    3    7    5       
Vardas5016     Pavarde5016    7    6    1    8    9    5       
Vardas5017     Pavarde5017    3    3    1    7    8    8       
Vardas5018     Pavarde5018    2    10   7    5    2    2       
Vardas5019     Pavarde5019    1    6    5    4    7    1       
Vardas5020     Pavarde5020    2    2    7    6    10   6       
Vardas5021     Pavarde5021    3    8    10   6    10   3       
Vardas5022     Pavarde5022    3    6    4    5    4    1       
Vardas5023     Pavarde5023    8    1    7    5    7    2       
Vardas5024     Pavarde5024    7    2    6    5    2    2       
Vardas5025     Pavarde5025    8    1    10   5    2    6       
Vardas5026     Pavarde5026    2    7    2    1    7    8       
Vardas5027     Pavarde5027    9    6    7    10   6    2       
Vardas5028     Pavarde5028    4    4    2    1    7    3       
Vardas5029     Pavarde5029    4    9    4    3    1    8       
Vardas5030     Pavarde5030    9    9    1    4    6    5       
Vardas5031     Pavarde5031    9    5    7    1    9    5       
Vardas5032     Pavarde5032    8    8    9    8    9    4       
Vardas5033     Pavarde5033    4    8    1    5    10   1       
Vardas5034     Pavarde5034    6    1    10   7    5    6       
Vardas5035     Pavarde5035    9    7    10   4    4    4       
Vardas5036     Pavarde5036    10   8    5    6    7    1       
Vardas5037     Pavarde5037    9    4    6    5    10   8       
Vardas5038     Pavarde5038    3    6    1    8    3    4       
Vardas5039     Pavarde5039    7    6    4    7    6    5       
Vardas5040     Pavarde5040    2    4    3    6    7    5       
Vardas5041     Pavarde5041    4    9    6    8    4    7       
Vardas5042     Pavarde5042    8    7    9    3    1    2       
Vardas5043     Pavarde5043    5    3    7    6    6    3       
Vardas5044     Pavarde5044    6    9    8    10   1    9       
Vardas5045     Pavarde5045    1    7    7    2    10   5       
Vardas5046     Pavarde5046    9    3    1    7    4    5       
Vardas5047     Pavarde5047    4    2    4    3    2    5       
Vardas5048     Pavarde5048    10   8    9    1    8    1       
Vardas5049     Pavarde5049    10   9    10   7    6    4       
Vardas5050     Pavarde5050    3    5    4    6    6    7       
Vardas5051     Pavarde5051    1    1    8    4    10   4       
Vardas5052     Pavarde5052    8    2    10   1    3    1       
Vardas5053     Pavarde5053    4    6    7    7    8    2       
Vardas5054     Pavarde5054    6    3    4    5    1    4       
Vardas5055     Pavarde5055    8    1    6    5    4    3       
Vardas5056     Pavarde5056    8    10   4    10   7    2       
Vardas5057     Pavarde5057    6    4    7    9    10   10      
Vardas5058     Pavarde5058    3    4    4    8    1    3       
Vardas5059     Pavarde5059    8    9    5    10   5    6       
